Date,Team,Pitcher,SO_Projection,Model_Id,OU,Over_Odds,Scale_Over,Under_Odds,Scale_Over,BE_Over,BE_Under,Poisson_Over,Poison_Under,Edge_Over,Edge_Under,OverUnder_Id,Platform,Bet_Amt,Win_Loss,Net,Net_Auto,Secondary
6/16/2022,MIL,Aaron Ashby,5.52,1,5.5,110,1.1,-145,-0.689655172,0.476,0.592,0.475,0.525,-0.168%,-6.634%,0,1,0.00,,,,
6/16/2022,NYM,Tyler Megill,4.76,1,5.5,105,1.05,-140,-0.714285714,0.488,0.583,0.342,0.658,-14.579%,7.466%,1,1,10.00,L,-10.00,-10.00,
6/16/2022,TEX,Martin Perez,4.26,1,4.5,-105,-0.952380952,-125,-0.8,0.512,0.556,0.422,0.578,-9.037%,2.262%,0,1,0.00,,,,
6/16/2022,DET,Beau Brieske,3.68,1,3.5,-125,-0.8,-105,-0.952380952,0.556,0.512,0.502,0.498,-5.389%,-1.386%,0,1,0.00,,,,
6/16/2022,LAA,Shohei Ohtani,5.44,1,6.5,-112,-0.892857143,-112,-0.892857143,0.528,0.528,0.305,0.695,-22.374%,16.713%,1,2,11.20,W,10.00,10.00,
6/16/2022,SEA,George Kirby,5.26,1,5.5,-135,-0.740740741,105,1.05,0.574,0.488,0.430,0.570,-14.491%,8.263%,1,1,25.00,L,-25.00,-25.00,
6/17/2022,PHI,Ranger Suarez,4.35,1,3.5,-145,-0.689655172,110,1.1,0.592,0.476,0.632,0.368,3.993%,-10.796%,0,1,0.00,,,,
6/17/2022,WSH,Joan Adon,3.75,1,3.5,108,1.08,-136,-0.735294118,0.481,0.576,0.516,0.484,3.546%,-9.250%,0,2,0.00,,,,
6/17/2022,ATL,Charlie Morton,6.74,1,5.5,-145,-0.689655172,110,1.1,0.592,0.476,0.665,0.335,7.303%,-14.105%,2,1,14.50,W,10.00,10.00,
6/17/2022,CHC,Keegan Thompson,3.94,1,4.5,125,1.25,-170,-0.588235294,0.444,0.630,0.359,0.641,-8.500%,1.093%,0,1,0.00,,,,
6/17/2022,MIL,Eric Lauer,4.62,1,5.5,116,1.16,-148,-0.675675676,0.463,0.597,0.318,0.682,-14.527%,8.553%,1,2,14.80,W,10.00,10.00,
6/17/2022,CIN,Hunter Greene,5.78,1,6.5,-130,-0.769230769,100,1,0.565,0.500,0.358,0.642,-20.681%,14.159%,1,1,10.00,W,10.00,10.00,
